Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2019-04-23,87.57,87.67,87.0092,87.43,7513749.0,0.0,1.0,87.57,87.67,87.0092,87.43,7513749.0
2019-04-22,88.35,88.64,87.3,87.36,5390519.0,0.0,1.0,88.35,88.64,87.3,87.36,5390519.0
2019-04-18,88.76,90.0,88.7,89.2,7016224.0,0.0,1.0,88.76,90.0,88.7,89.2,7016224.0
2019-04-17,87.95,88.97,87.45,88.73,5586235.0,0.0,1.0,87.95,88.97,87.45,88.73,5586235.0
2019-04-16,87.0,87.95,87.0,87.8,4652727.0,0.0,1.0,87.0,87.95,87.0,87.8,4652727.0
2019-04-15,86.89,87.2428,86.4388,86.83,5034931.0,0.0,1.0,86.89,87.2428,86.4388,86.83,5034931.0
2019-04-12,85.3,86.49,85.29,86.24,6036158.0,0.0,1.0,85.3,86.49,85.29,86.24,6036158.0
2019-04-11,84.9,85.05,84.2837,85.0,3347405.0,0.0,1.0,84.9,85.05,84.2837,85.0,3347405.0
2019-04-10,84.64,85.01,84.56,84.88,3918379.0,0.0,1.0,84.64,85.01,84.56,84.88,3918379.0
2019-04-09,84.22,84.6,83.97,84.28,3803927.0,0.0,1.0,84.22,84.6,83.97,84.28,3803927.0
2019-04-08,85.01,85.29,84.57,84.73,4705529.0,0.0,1.0,85.01,85.29,84.57,84.73,4705529.0
2019-04-05,86.0,86.16,85.05,85.4,7281141.0,0.0,1.0,86.0,86.16,85.05,85.4,7281141.0
2019-04-04,84.49,85.38,84.36,85.28,3660607.0,0.0,1.0,84.49,85.38,84.36,85.28,3660607.0
2019-04-03,84.9,84.99,84.25,84.47,4080818.0,0.0,1.0,84.9,84.99,84.25,84.47,4080818.0
2019-04-02,85.0,85.26,84.16,84.37,4433494.0,0.0,1.0,85.0,85.26,84.16,84.37,4433494.0
2019-04-01,85.04,85.32,84.7,85.23,6737429.0,0.0,1.0,85.04,85.32,84.7,85.23,6737429.0
2019-03-29,84.6,84.85,83.86,84.21,6273465.0,0.0,1.0,84.6,84.85,83.86,84.21,6273465.0
2019-03-28,83.93,84.72,83.7,84.04,6032583.0,0.0,1.0,83.93,84.72,83.7,84.04,6032583.0
2019-03-27,83.69,83.8,82.04,83.09,6428788.0,0.0,1.0,83.69,83.8,82.04,83.09,6428788.0
2019-03-26,83.63,84.09,82.91,83.38,9438453.0,0.0,1.0,83.63,84.09,82.91,83.38,9438453.0
2019-03-25,81.48,83.22,80.89,82.33,15515450.0,0.0,1.0,81.48,83.22,80.89,82.33,15515450.0
2019-03-22,85.2,85.9,82.15,82.19,21655314.0,0.0,1.0,85.2,85.9,82.15,82.19,21655314.0
2019-03-21,87.24,88.12,86.83,88.01,10186748.0,0.0,1.0,87.24,88.12,86.83,88.01,10186748.0
2019-03-20,87.5,87.58,86.09,86.69,5986006.0,0.0,1.0,87.5,87.58,86.09,86.69,5986006.0
2019-03-19,88.22,88.59,87.29,87.69,6641706.0,0.0,1.0,88.22,88.59,87.29,87.69,6641706.0
2019-03-18,87.3,87.84,87.0,87.82,7711642.0,0.0,1.0,87.3,87.84,87.0,87.82,7711642.0
2019-03-15,87.22,87.6053,85.955,86.8,11031386.0,0.0,1.0,87.22,87.6053,85.955,86.8,11031386.0
2019-03-14,86.15,86.88,85.7,86.87,5905549.0,0.0,1.0,86.15,86.88,85.7,86.87,5905549.0
2019-03-13,85.7,86.655,85.6,85.93,5037778.0,0.0,1.0,85.7,86.655,85.6,85.93,5037778.0
2019-03-12,85.78,86.08,85.02,85.43,4431532.0,0.0,1.0,85.78,86.08,85.02,85.43,4431532.0
2019-03-11,85.39,85.94,85.05,85.82,3999416.0,0.0,1.0,85.39,85.94,85.05,85.82,3999416.0
2019-03-08,84.58,84.88,84.02,84.8,4669617.0,0.0,1.0,84.58,84.88,84.02,84.8,4669617.0
2019-03-07,84.97,85.41,84.66,85.26,4321773.0,0.0,1.0,84.97,85.41,84.66,85.26,4321773.0
2019-03-06,85.6,85.99,85.04,85.13,3198110.0,0.0,1.0,85.6,85.99,85.04,85.13,3198110.0
2019-03-05,85.88,86.25,85.44,85.44,4976324.0,0.0,1.0,85.88,86.25,85.44,85.44,4976324.0
2019-03-04,87.32,87.99,85.11,85.64,7339569.0,0.0,1.0,87.32,87.99,85.11,85.64,7339569.0
2019-03-01,86.93,87.99,86.24,87.16,6314902.0,0.22,1.0,86.93,87.99,86.24,87.16,6314902.0
2019-02-28,86.08,86.4,85.68,85.73,4988143.0,0.0,1.0,85.86327306019685,86.1824673838407,85.46428015564203,85.51415426871138,4988143.0
